dataset,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,time_seconds
labor,0.8590909090909091,0.9121212121212121,0.8590909090909091,0.8939393939393939,0.8227272727272729,0.9106060606060605,3.44
balance-scale,0.7696,0.9040000000000001,0.8304,0.8704000000000001,0.8672000000000001,0.9792,4.19
breast-cancer,0.6293405928614639,0.7691470054446461,0.730550514216576,0.7271022383545069,0.6226860254083485,0.7096793708408953,2.83
breast-w,0.935611510791367,0.9656526207605344,0.9670709146968139,0.9656628982528263,0.9613874614594039,0.9642446043165467,2.67
cmc,0.49218263576617083,0.5512394788423844,0.4888158653291826,0.5138821630347055,0.4398846996425688,0.524784964833391,14.21
colic,0.8205849685301739,0.847871158830063,0.8071455016660496,0.8069233617178823,0.7637911884487227,0.8098111810440578,2.32
credit-approval,0.7985507246376812,0.8608695652173914,0.8594202898550725,0.8594202898550725,0.7971014492753623,0.8376811594202899,7.01
credit-g,0.6970000000000001,0.7390000000000001,0.718,0.714,0.583,0.7329999999999999,8.1
dermatology,0.9398000740466493,0.9726397630507219,0.9589781562384301,0.9671603109959275,0.9617178822658274,0.9699000370233246,1.59
diabetes,0.7004329004329005,0.7616840675664205,0.7278244631185808,0.7746965452847806,0.7005347593582888,0.7460741872506579,3.38
sonar,0.7116144018583043,0.8413472706155632,0.8219512195121951,0.7836236933797908,0.7400696864111498,0.8562137049941928,1.06
tae,0.6098924731182797,0.5423655913978495,0.5027956989247313,0.5356989247311829,0.46215053763440855,0.5298924731182796,2.0
heart-c,0.7258469945355192,0.8216939890710382,0.811639344262295,0.8415846994535517,0.7787978142076503,0.7919672131147542,3.27
tic-tac-toe,0.8778795811518325,0.8883180628272251,0.8517888307155325,0.6742910122164049,0.5866655759162304,0.9478075916230366,7.1
heart-h,0.7450613676212742,0.8196960841613091,0.8061367621274108,0.8264757451782583,0.7859146697837522,0.7924605493863238,3.4
heart-statlog,0.7222222222222221,0.8296296296296297,0.8037037037037036,0.837037037037037,0.8222222222222222,0.8037037037037038,2.76
vehicle,0.693880960668291,0.7447058823529412,0.7175147928994083,0.7884441350504698,0.7294048033414549,0.8321336581970066,9.26
hepatitis,0.767741935483871,0.832258064516129,0.832258064516129,0.832258064516129,0.8064516129032258,0.8516129032258064,0.99
vote,0.9241379310344829,0.9632183908045977,0.9310344827586207,0.9586206896551722,0.9494252873563218,0.9540229885057471,1.81
ionosphere,0.8974245472837021,0.9401207243460764,0.8404024144869215,0.8859154929577464,0.8631388329979879,0.9171830985915493,2.26
molecular-biology_promoters,0.7454545454545455,0.84025974025974,0.8207792207792208,0.7735930735930735,0.7735930735930735,0.8025974025974026,0.75
baseball,0.9164179104477611,0.9365671641791045,0.9305970149253732,0.9350746268656718,0.9186567164179105,0.923134328358209,11.95
wine,0.8988888888888888,0.9833333333333332,0.9717460317460318,0.9833333333333332,0.9722222222222221,0.9776190476190475,0.88
eucalyptus,0.6182110682110682,0.6535668321382608,0.5395017466446037,0.653520867806582,0.5109303180731752,0.6087516087516087,8.21
vowel,0.7979797979797979,0.9363636363636363,0.9070707070707069,0.6636363636363637,0.4242424242424242,0.9797979797979799,102.57
oil_spill,0.9498236431903516,0.9701217430879507,0.9626521788599385,0.9636989418591421,0.9530492661281146,0.9669074980088747,3.49
hayes-roth,0.79375,0.775,0.5,0.525,0.49375,0.725,1.34
monks-problems-1,0.9802123552123552,0.8957046332046332,0.8922779922779922,0.6636422136422137,0.6133848133848134,1.0,2.1
