dataset,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd,attr_to_inst,cat_to_num,freq_class.mean,freq_class.sd,inst_to_attr,nr_attr,nr_bin,nr_cat,nr_class,nr_inst,nr_num,num_to_cat,can_cor.mean,can_cor.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,lh_trace,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_cor_attr,nr_disc,nr_norm,nr_outliers,p_trace,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,w_lambda,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,class_conc.mean,class_conc.sd,class_ent,eq_num_attr,joint_ent.mean,joint_ent.sd,mut_inf.mean,mut_inf.sd,ns_ratio,ch,int,nre,pb,sc,sil,vdb,vdu,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1,t2,t3,t4,one_itemset.mean,one_itemset.sd,two_itemset.mean,two_itemset.sd,cohesiveness.mean,cohesiveness.sd,conceptvar.mean,conceptvar.sd,impconceptvar.mean,impconceptvar.sd,wg_dist.mean,wg_dist.sd,time_seconds
wine,0.6196078431372549,0.09631995292972285,0.6418300653594772,0.06985620588887573,0.9774509803921569,0.029125941127316323,0.9777777777777779,0.028688765527462363,0.7480392156862745,0.10056596266349803,0.5330065359477124,0.06423229193918685,0.6408496732026144,0.10712498277208288,0.07303370786516854,0.0,0.3333333333333333,0.06462709335856702,13.692307692307692,13.0,0.0,0.0,3.0,178.0,13.0,,0.9231669318551429,0.03668569344876869,0.3049574843548463,0.19084648399224466,40.57076608757301,208.40387181101892,7645.500383976089,27509.28197694385,64.21452561668815,188.59022926824355,110.6106407878523,59.77978347995244,173.51459718582996,39.92980765264768,133.66988410209083,-0.06027569085816445,0.8985753178501362,13.209781131031466,25.07988967490563,82.76359275219605,148.29000001228772,462.25723586840957,69.13366291919915,205.40009624040277,63.31499998844587,185.22393744274413,28.97076923801349,77.19790027855043,0.1794871794871795,2.0,1.0,7.0,1.705820208245493,119.31923077427425,386.17714062174286,9.081183955889738,26.177785234108935,86.83457034056603,1.362469743549449,0.34428889767705356,0.4654434826626975,0.006196757204043295,0.005509299527695418,65.0711082588149,191.57112335687106,7645.500383976094,27498.76029008639,0.01934148750860801,12.0,3.75,0.7537783614444091,0.08333333333333333,0.1265510065295304,46.13333333333333,16.228668983305347,0.3333333333333333,0.16666666666666669,11.0,0.8461538461538461,0.06179775280898876,2.2,1.3038404810405297,1.375,0.7440238091428449,2.9565217391304346,1.2605287804426009,0.23891722674639074,0.17305714131305633,0.2864583333333333,0.08514832201766658,0.07692307692307693,0.12711209924718536,0.07501604127813204,0.04946623653889216,2.3173058075119184,0.008828109443088206,0.1527908582113731,0.07145183132247508,1.5668222768551812,3.1829061453642518,3.3918665456041106,0.23309370719414702,0.4922615387629892,0.23705787175437384,3.7074687438208316,206.67811644807975,424.9689253324471,1.086038443640683,-0.42011208245162934,0.0,0.20008297882830697,1.5154862521366488,1.1421612134293615e-06,0.9885547930265093,0.018697406258052607,0.3405912813376828,0.825874436615248,0.5617908022761934,0.22095728681904964,0.02727475206183233,0.016371827430133618,2.035426355208124e-05,1.7742172143283325e-05,0.1532643826761474,0.13457528632969676,0.0,0.0,0.7825694480539596,0.2963326627766487,0.0,0.0,0.0,0.0,0.00512820512820511,0.00888231183368652,0.8547531877288221,0.0898876404494382,0.3579835927600937,0.07084862431837133,0.03932584269662921,0.19491732422538577,0.0056179775280898875,0.07495316889958614,0.3202247191011236,0.07303370786516854,0.0056179775280898875,0.07692307692307693,0.2,0.016099696495401234,0.32,0.046088523393282545,65.625,6.62579277849095,0.5974110307204664,0.0443065586459663,37.76685393258427,4.804702521231343,0.9366990201959653,0.10058669492341363,3.0590660572052
heart-statlog,0.7185185185185186,0.09594745297642196,0.3407407407407407,0.18043284845871715,0.8407407407407408,0.042944511434385386,0.8407407407407407,0.0429445114343854,0.5814814814814815,0.08562242412049235,0.625925925925926,0.06403112335748118,0.5888888888888889,0.05644014543537017,0.04814814814814815,0.0,0.5,0.07856742013183865,20.76923076923077,13.0,3.0,0.0,2.0,270.0,13.0,,0.738408931749481,,0.1575256398090815,0.12068846018488578,6.945217859557211,23.638082928483534,278.3801455719428,742.7174537134165,44.998661777784555,79.17267404290226,24.13772396775049,44.258075552895335,77.85016388827115,11.200000001833988,19.459016760750945,0.06803054856617491,1.873706523168476,1.1989995675047533,7.732329232128767,14.159521623586889,82.3999999853281,162.4527008160293,46.03603988581064,80.32965555964431,45.792307693224686,79.72856516001471,25.0,43.282020901678486,0.01282051282051282,1.0,0.0,7.0,0.5452477504874096,57.39999998532809,122.40525588508964,1.1989995675047533,8.43921680322033,14.980756960076096,1.0597356387540247,0.4222307664435934,0.8637179850646637,0.23480930043688855,0.19991442921684124,45.786372269957496,79.70482722399674,278.3801455719426,737.4492574687233,0.4547522495125904,46.0,6.086956521739131,1.3470310885882286,0.021739130434782608,0.04080883718374106,681.8158730158731,561.929729436232,0.5,0.0,45.0,3.4615384615384617,0.16666666666666666,5.0,3.6742346141747673,3.4615384615384617,2.331501112137293,5.164835164835165,1.8090128447657503,0.1352309942769282,0.1257298765458822,0.10929008152173914,0.07180249555984582,0.07692307692307693,0.0682033295215855,0.03871490649503225,0.04478711443962629,1.6467194570283366,0.7676955376346029,0.08274641987316356,0.0817256493713008,0.9910760598382222,10.038572325929804,2.5390687230894944,0.7761574102782698,0.09872679377706486,0.06951440766503392,15.679559763145924,11.137445285215678,75.72778193472679,0.6869615765973234,-0.04758639996274215,0.0,0.05014659179482928,4.156427207762783,7.394145388445741e-07,0.9910760598382222,0.024390243902438935,0.44687978697513275,0.8616274266831887,0.884454234070261,0.08786212299908637,0.17185263939517711,,0.19590588033065173,,0.9851851851851852,,0.9074074074074074,,0.7198336825573352,0.3089604438650381,0.10451840617099051,,0.1444444444444445,,0.14074074074074072,,0.9673388203017833,0.34074074074074073,0.39445600261696434,0.1426206842253044,0.22592592592592592,0.41896721362315087,0.3037037037037037,0.4607102012950328,0.48518518518518516,0.04814814814814815,0.011111111111111112,0.23076923076923078,0.26,0.18156707377377537,0.3918799646954987,0.14514476481166327,63.43055555555556,5.555287064970228,0.4200693958279101,0.09911872425075136,29.078703703703702,5.090485620488736,1.4842203353408965,0.14606860820858078,3.4028453826904297
balance-scale,0.44631336405529953,0.10905797510939964,0.4465181771633384,0.05522962383502708,0.854531490015361,0.058575718381658655,0.8415770609318995,0.09569404049394797,0.7026881720430107,0.06445277676742173,0.5874295954941117,0.21693005031788065,0.6419098822324629,0.0948146695826745,0.0064,0.0,0.3333333333333333,0.2207787429381129,156.25,4.0,0.0,0.0,3.0,625.0,4.0,,0.4239273511970773,0.5638095238095232,0.0,0.0,0.0,0.0,2.003205128205128,0.0,2.6051710846973517,0.0,1.2190676701606842,2.1897810218978107,5.127900497022837e-16,2.0,0.0,-1.3054356480000002,0.0,2.0934748087709347,1.4826,0.0,5.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.6773099773242615,4.0,0.0,2.092836646677763,1.4153462926807447,0.0,1.3063253678127449,0.0,0.0,0.1987179487179487,0.0,3.0,0.0,2.003205128205128,0.0,0.32312157383787005,161.0,8.111801242236025,1.4534174762429573,0.006211180124223602,0.014286641460595365,7467.009523809523,5244.848072517293,0.3333333333333333,0.025859204962312192,160.0,40.0,0.256,16.0,11.944315244779277,40.0,2.8284271247461903,7.140186915887851,1.964283893675573,0.1250145716296406,0.07488376985306455,0.04068808229813665,0.03823166482879946,0.25,0.03075051796053642,-6.250002346150688e-08,0.0,2.3219280948873626,0.0,0.0437559133543309,0.0,1.318116246441582,9.73829735250785,3.5046904700382786,0.0,0.13535387129066612,0.0,16.15450081144063,63.395442099716654,3.9391386141034794,0.9136485598712407,-0.2788121621727687,0.0,0.08883079139216242,4.218747293065079,1.5070408950617283e-06,0.8316387585459218,0.16400460537082706,0.47361343538285916,0.8839589743589744,0.8306725056689338,1.4332917616497527e-16,0.22925287129025476,0.10604409446870698,1.0,0.0,1.0,0.0,1.0,0.0,0.7606490556845231,0.2832918866969512,0.06558262109008332,0.04493285458076737,0.06763792724475219,0.016477706124868742,0.11282146389713155,0.048933433423527246,0.96865792,0.3168,0.3795619058872111,0.14501290191709684,0.216,0.41184388379018655,0.4,0.4902903378454601,0.3376,0.0064,0.0064,1.0,0.20000000000000004,2.8476619731297836e-17,0.32,0.0,241.808,24.13086849043283,0.4742990649659667,0.14815395642634185,129.2264,32.756332315000854,0.7709907678719828,0.046239865143833984,4.468111276626587
hayes-roth,0.4375,0.05103103630798288,0.4625,0.09860132971832694,0.55625,0.09969571761671166,0.7,0.15252504348102605,0.75,0.09771699499632146,0.4875,0.07095577652469333,0.3375,0.06038073644245599,0.025,0.0,0.3333333333333333,0.12092309884109542,40.0,4.0,0.0,0.0,3.0,160.0,4.0,,0.38677474473674905,0.4822631979957122,0.03178967019476423,0.020363566493910412,0.02557651991614258,0.015269770206237076,0.8345911949685534,0.1076850049098088,1.7318971920289425,0.06340823486058811,1.8807450657524227,1.551335628695727,0.05262866043927805,2.0,0.0,-0.7845161210959383,0.47624615686677296,1.1282786465776837,1.4826,0.0,3.75,0.5,1.9375,0.07500000000000007,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.5317671984734063,2.75,0.5,1.1261799839522249,0.9124890720951268,0.05105406644631037,1.1094542356711175,0.563313552347617,0.15307869453783293,0.2662473794549266,0.0419287211740042,1.7942708333333335,0.05729166666666674,0.8345911949685536,0.09056603773584912,0.46934207831288643,25.0,7.56,2.5508168626278653,0.04,0.03197085261088085,1154.1968253968255,922.5932613794242,0.3333333333333333,0.24440403706431146,24.0,6.0,0.15,2.4,1.429840705968481,6.0,1.632993161855452,6.73469387755102,2.6439830291632735,0.08896948028320784,0.11979540816679059,0.088046875,0.14556888399583537,0.25,0.1749583530098577,0.03606470903270312,0.03061526247163292,1.7374254111348286,0.12976730476468012,0.07713122140287906,0.04818810643310544,1.5154656357070957,7.288488955279127,3.044965145464324,0.006570812309562931,0.20792590137760014,0.13438287915441416,7.3559835480987426,13.00522883665936,2.7687883134378035,1.0504407326258585,-0.24194061450221757,0.0,0.011266478424201882,5.131464245164556,0.0,0.9561523600826898,0.05730769230769217,0.6941840139837915,0.9217767295597484,0.8648238582110296,0.08560438763822707,0.3131168596831313,0.29564958015123144,0.5308641975308642,0.40628352276307,0.9092470760233918,0.07859756915150816,0.3333333333333333,0.5773502691896258,0.806005429481546,0.25350489777795304,0.11780965862282873,0.08188247155347189,0.22854787161702705,0.1793264766208504,0.17143682850537192,0.10770780412876503,0.9856640625,0.70625,,,0.25,0.4343722427630694,0.45625,0.4996461011707129,0.275,0.025,0.025,1.0,0.26666666666666666,0.12572705224678846,0.39285714285714285,0.0968204172753709,63.828125,7.3935414776520325,0.5989424263923233,0.1008047428268796,39.39375,3.9778820492171802,0.7233660099081324,0.09999880701652937,1.5044474601745605
analcatdata_bankruptcy,0.8200000000000001,0.1751190071541826,0.76,0.12649110640673517,0.8800000000000001,0.16865480854231357,0.8400000000000001,0.1577621275493231,0.8600000000000001,0.1646545204697129,0.72,0.214993539954628,0.62,0.17511900715418263,0.1,0.0,0.5,0.0,10.0,5.0,0.0,0.0,2.0,50.0,5.0,,0.7285401645549934,,0.15538167778142153,0.16185582739090343,297.7241006395099,466.9594083848009,2195.550982490451,3542.930030705055,,,112.6009374593384,,,31.995250099897383,26.665261822517113,7.094501195671055,8.608474432969604,1.1311545380906716,24.172606861923335,20.60983210009569,64.035599899292,40.022498818289854,-2.5883520565852525,33.326484174421466,-0.13890000581741332,25.730375302307582,-131.79440060779453,177.99215243278027,0.1,1.0,0.0,5.0,0.5307707713698169,195.8300005070865,173.57168565347914,1.1311545380906716,37.44842506567879,31.487426907233367,1.550873678503949,0.0658019945764277,2.72941259344159,0.0006768013327780102,0.0002376277928923571,1.5179333291451131,24.613558655614966,2195.5509824904507,3335.854478406967,0.4692292286301831,6.0,2.8333333333333335,0.983192080250175,0.16666666666666666,0.17693690024035874,16.666666666666668,5.8878405775518985,0.5,0.23570226039551584,5.0,1.0,0.1,1.25,0.5,1.25,0.5,2.1818181818181817,1.2504544628399563,0.2250678929757294,0.1912918265893657,0.3958333333333333,0.12289901003127188,0.2,0.26258510639573635,0.12249086309487398,0.07601031468859577,1.584381457724494,0.0,0.15150057020771635,0.12738220592253474,1.0,3.873540925980746,2.326219734611472,0.2323184465069878,0.25816172311302193,0.2323184465069878,5.1371664188608595,20.04988006105328,137.15301235119995,0.6931471805599453,-0.21847865623179988,0.0,0.24293750679685588,1.2069055800334378,7.454101975138064e-05,1.0,0.0,0.42513089005235605,0.8220408163265306,0.8291353860668391,0.17400333333769416,0.18713858534610775,,0.0009830275918167235,,0.38,,0.0,,0.7201132398415989,0.34906225355399145,0.03996398775156085,,0.07999999999999996,,0.0,,0.8664000000000001,0.22,0.36720040294615797,0.11881232502071763,0.14,0.3505098327538656,0.02,0.14142135623730948,0.4,0.1,0.06,0.6,0.3333333333333333,0.00975900072948534,0.4444444444444444,0.11080006399940462,23.45,1.6819874056166597,0.4815844244809848,0.04266615186535789,11.8,1.2005525938551151,0.4874048927432736,0.18360897358658382,1.2337722778320312
analcatdata_japansolvent,0.7033333333333334,0.2145624315602269,0.5466666666666666,0.2195393606262839,0.8899999999999999,0.15559523303498046,0.7733333333333332,0.17270541535755954,0.7966666666666666,0.17245503976613946,0.76,0.1776388345929897,0.7566666666666666,0.2000308618164016,0.15384615384615385,0.0,0.5,0.02719641466102108,6.5,8.0,0.0,0.0,2.0,52.0,8.0,,0.778424843065699,,0.43374401412130487,0.275014475074878,0.06721220377818042,0.053794565734215496,0.32802592573225603,0.4034507745358213,,,1.0940880790314074,,,0.29507500189356506,0.25059143582986604,7.594165616369247,5.004761408337612,1.5377183379669304,0.20485825592777981,0.15754442626828852,1.0851125195622444,1.4091298600018727,0.14231803114727465,0.5206838005925145,0.19373125383572187,0.3840040325595677,-1.6418625302612782,1.6212434392142656,0.39285714285714285,1.0,0.0,8.0,0.6059452363018581,2.7269750498235226,1.7380994278493072,1.5377183379669304,0.4923599989103718,0.3127893991722768,2.113654290074187,-1.7883168026333236,1.881584596309198,0.0011402447225587497,0.0010504640114462052,0.19423711155286583,0.42326269833695196,0.328025925732256,0.3229685095489308,0.39405476369814185,10.0,4.2,1.9321835661585918,0.1,0.13162115659190357,69.63809523809525,65.30776490753946,0.5,0.0,9.0,1.125,0.17307692307692307,1.2857142857142858,0.48795003647426666,1.5,0.5477225575051661,3.473684210526316,2.064741604835056,0.12734364629224598,0.15252063772150154,0.2734375,0.17508058660387096,0.125,0.15891641147594873,0.22494920830200124,0.17879046567496792,1.5842281641717766,0.0005773351686088272,0.16692860977401125,0.0671052496789194,0.9989326546260582,3.6483863739268836,2.309359594847184,0.12068578440750756,0.273801223950651,0.12067234279217666,4.786052163365466,6.567561120813599,2.0784392282560855,0.6924073531233138,-0.14512936480307057,0.0,0.16474115433148737,2.2028236864614157,3.90586510807917e-05,0.9989326546260582,0.002954209748892267,0.4350132625994695,0.8340874811463047,0.8258001751054567,0.10895668698272258,0.1443864564437781,,0.00012259070218018032,,0.5576923076923077,,0.0,,0.7016238279267044,0.3239037258171065,0.07194602873682276,,0.11538461538461542,,0.05769230769230771,,0.8661242603550297,0.36538461538461536,0.40094264905311694,0.1226293860470228,0.23076923076923078,0.4254356298115171,0.25,0.4372373160976031,0.40384615384615385,0.15384615384615385,0.07692307692307693,0.5,0.3333333333333333,0.01085884043410153,0.4444444444444444,0.14998059356893173,23.48076923076923,2.91961174302596,0.48387458631594166,0.06490429138388905,11.846153846153847,1.7300358761395715,0.5194580870941456,0.2724774576963739,1.702218770980835
ionosphere,0.8204761904761906,0.06475139970820964,0.7726190476190475,0.09539174114227975,0.8576984126984127,0.06117240793089225,0.8803174603174604,0.05686883149818322,0.8461904761904762,0.04687514172314173,0.7004761904761906,0.08625490882872788,0.7177777777777778,0.08613067585509375,0.09686609686609686,0.0,0.5,0.19944037418082114,10.323529411764707,34.0,1.0,0.0,2.0,351.0,34.0,,0.7873960184628696,,,,0.06388193660694783,0.060593029577614546,0.27252966553314917,0.5197015859638231,,,1.3938808290743252,,,0.601891324554077,0.2679445488699966,,,1.6315269393324259,0.3887721691897796,0.19159808179616938,0.9705882352941176,0.17149858514250882,0.24769699766026806,0.24784236493694056,0.3210052939350991,0.3379137089364695,-0.9411764705882353,0.23883257361061289,0.0926916221033868,1.0,1.0,20.0,0.6199924898911796,1.911764705882353,0.3788057036804224,1.6315269393324259,0.5104205012124762,0.11119456523606364,,,,0.04511218394896291,0.1890503478331077,0.3006294815304751,0.3079774821308636,0.27252966553314906,0.08203703160426765,0.3800075101088204,22.0,5.521739130434782,1.7286243931201823,0.04347826086956521,0.09516467184153703,229.08571428571432,145.98877352544903,0.5,0.215206411665471,21.0,0.6470588235294118,0.06267806267806268,3.142857142857143,1.3451854182690985,1.375,0.6191391873668903,4.666666666666667,2.0113315354397807,0.12174447537121658,0.09828140804560678,0.15896739130434784,0.12855838685796325,0.029411764705882353,0.08446061268863217,0.1322154481807881,0.12856556273458283,2.504028746384419,0.6508889657833035,0.06790793627186943,0.11168196240248211,0.9418285354475157,5.884495667623663,3.2858047321071675,0.6203380607936908,0.16005254972476757,0.09179802439451495,14.645041273571977,17.746060148893193,4.4686289396218095,0.652825793916348,-0.2738972657695535,0.0,0.15487902523304678,4.086444914236704,1.6888932125493506e-06,0.9418285354475157,0.14738124238733263,0.3303166469668477,0.8431257631257632,,,0.12438553668050312,,,,0.8091168091168092,,0.0,,0.7206729205117958,0.3132870545105425,0.055388767180980736,,0.056980056980056926,,0.07407407407407407,,0.9101224827720554,0.1737891737891738,0.3228969475739632,0.14812706679612214,0.09116809116809117,0.2882589167626963,0.3190883190883191,0.46678875081961635,0.3162393162393162,0.09686609686609686,0.06837606837606838,0.7058823529411765,0.16113744075829384,0.09217788210599312,0.2707551105548603,0.09829121558310641,73.24821937321937,24.07008361829551,0.4259569699122188,0.19384162723856166,26.59027777777778,11.969235894028689,1.7961220963993563,0.533956298157331,6.998229503631592
pwLinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10450458526611328
baskball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08777093887329102
diabetes,0.7175495557074505,0.04223791061255697,0.6368933697881066,0.06574655184260635,0.7734962406015038,0.036540402856012844,0.7564935064935066,0.034824118651366746,0.6796650717703349,0.05890507604429617,0.6510594668489406,0.003602503600100705,0.6615345181134655,0.03953212623366348,0.010416666666666666,0.0,0.5,0.21360517348343622,96.0,8.0,0.0,0.0,2.0,768.0,8.0,,0.5506842073823692,,0.17165678976004028,0.13243386526353954,109.35023510419823,266.0928738393966,1893.059471642301,4682.592252033119,3.980700188010989,11.105207416290217,45.243108428798124,3.7861697974024326,10.582698321250557,31.272812402341515,41.0902333331847,2.734561279956747,2.913385889618344,0.43524139774815934,15.616874508969111,15.08646694443357,179.18999981880188,276.3248135063151,44.98579118022947,41.63527666466032,38.35906250029802,38.60985690031131,2.6347500002011657,7.4207318034560705,0.03571428571428571,1.0,0.0,8.0,0.30325309626034824,176.5552498186007,277.49513376724514,0.43524139774815934,25.733742972253445,37.50556445238188,1.0325939957010324,0.527180559511209,1.3216032473863044,0.015922964296627953,0.018549250712783114,40.20920779352436,38.84354586750075,1893.0594716423038,4613.544969617732,0.6967469037396518,129.0,8.4251968503937,2.0335272547627725,0.007751937984496123,0.017464625364390727,9925.47132867133,13127.115480779408,0.5,0.005567769930602726,129.0,15.75,0.16536458333333334,9.615384615384615,7.599763828989047,15.625,9.709163565563058,7.5058823529411764,2.43315450644763,0.07806512217879699,0.0920677014501287,0.04429817199707031,0.05794035125030736,0.125,0.10049856257968073,0.028840438796475666,0.03211053699372291,2.958105757854844,0.34168940624694744,0.01248981695807782,0.008523298017724572,0.9331343166407832,12.954877983803843,3.8192105024836493,0.3357632924270967,0.07202957201197768,0.05160877219809383,40.06793467220582,24.29910805881305,145.32696279853494,0.6467994206632901,-0.09046136043302166,0.0,0.10426011351014297,4.427473994472861,3.6778242405658813e-08,0.9331343166407832,0.16724669384508295,0.47622638917660254,0.8690311277705345,0.9416866188790008,0.07013607471470878,0.3435590776326369,,0.2515956432999114,,0.9934895833333334,,0.9778645833333334,,0.7417449325142741,0.26387043843491614,0.14735984819529124,,0.2265625,,0.18619791666666663,,0.9893815782335069,0.4361979166666667,0.4541916066778628,0.09824326867801396,0.3020833333333333,0.4594604094843525,0.3567708333333333,0.47935853441841847,0.6875,0.010416666666666666,0.0026041666666666665,0.25,0.11940298507462686,0.056051036078454505,0.21071428571428572,0.06311678933261766,374.9505208333333,17.268788108988737,0.4443778467359681,0.1529369293701661,169.6875,54.74741395784561,0.5780190670557304,0.11967698521391705,7.29557466506958
